Model,Avg BLEU,Std BLEU,Avg chrF,Std chrF,Avg TER,Std TER,Avg BERTScore,Std BERTScore
claude3.5,40.23,5.21,57.82,2.9,81.57,31.35,0.92,0.01
gemini2.5,44.77,7.48,57.76,5.12,65.65,15.94,0.91,0.04
gpt5,33.44,8.52,49.57,7.08,96.56,9.44,0.91,0.01
llama3_1b,5.22,3.32,13.71,3.33,131.04,13.14,0.78,0.14
llama3_8b,17.31,6.81,40.86,4.97,105.53,22.45,0.83,0.15
mistral,21.33,6.89,44.44,8.35,185.82,23.45,0.81,0.15
phi3_14b,20.01,6.96,42.32,7.16,185.87,55.33,0.82,0.15
phi3_8b,10.62,3.73,34.54,5.24,511.92,242.4,0.81,0.15
qwen_14b,31.83,6.63,53.49,5.94,90.88,22.29,0.85,0.16
