llm,avg_bleu_score,avg_chrF_score,avg_ter_test,avg_bert_score_f1
claude3.5,39.51166538084661,57.0849098993659,90.49306285819442,0.9212071244915326
gemini2.5,46.84163439940271,58.95967079420193,62.56689095504884,0.9121097430586815
gpt5,34.51811609748765,50.15549874643567,96.08117065682855,0.9100329354405403
llama3_1b,5.0566967596959636,13.878976498424683,128.82226975718515,0.7368993476033211
llama3_8b,18.107542218413094,40.651937861951886,107.15875643953652,0.7866325398286184
mistral,21.062107988457683,43.73760085571398,185.0371356052747,0.7678049306074778
phi3_14b,19.627968841741474,41.942169007872344,177.28950985835388,0.7759565025568008
phi3_8b,10.493997511379352,33.87160276726843,523.0080328245272,0.7698758612076442
qwen_14b,31.006752794502116,52.51234775938562,96.88537844082957,0.7985730414589246
